timestamp	value
2021-01-17 09:00:00	14.0
2021-01-17 09:05:00	13.9
2021-01-17 09:10:00	13.7
2021-01-17 09:15:00	13.9
2021-01-17 09:20:00	14.0
2021-01-17 09:25:00	14.1
2021-01-17 09:30:00	14.2
2021-01-17 09:35:00	14.3
2021-01-17 09:40:00	14.4
2021-01-17 09:45:00	14.6
2021-01-17 09:50:00	14.8
2021-01-17 09:55:00	15.3
2021-01-17 10:00:00	15.7
2021-01-17 10:05:00	16.2
2021-01-17 10:10:00	16.6
2021-01-17 10:15:00	17.2
2021-01-17 10:20:00	17.8
2021-01-17 10:25:00	18.4
2021-01-17 10:30:00	18.9
2021-01-17 10:35:00	19.2
2021-01-17 10:40:00	19.5
2021-01-17 10:45:00	19.8
2021-01-17 10:50:00	20.1
2021-01-17 10:55:00	20.5
2021-01-17 11:00:00	20.8
2021-01-17 11:05:00	20.9
2021-01-17 11:10:00	20.9
2021-01-17 11:15:00	21.3
2021-01-17 11:20:00	21.6
2021-01-17 11:25:00	21.8
2021-01-17 11:30:00	22.0
2021-01-17 11:35:00	22.5
2021-01-17 11:40:00	22.9
2021-01-17 11:45:00	23.5
2021-01-17 11:50:00	24.0
2021-01-17 11:55:00	24.2
2021-01-17 12:00:00	24.3
2021-01-17 12:05:00	24.5
2021-01-17 12:10:00	24.7
2021-01-17 12:15:00	24.9
2021-01-17 12:20:00	25.1
2021-01-17 12:25:00	25.2
2021-01-17 12:30:00	25.3
2021-01-17 12:35:00	25.6
2021-01-17 12:40:00	25.8
2021-01-17 12:45:00	26.1
2021-01-17 12:50:00	26.3
2021-01-17 12:55:00	26.4
2021-01-17 13:00:00	26.4
2021-01-17 13:05:00	26.4
